language_code,bad_word
fr,aller se faire empapaouter
fr,aller se faire enculer
fr,aller se faire foutre
fr,aller se faire mettre
fr,allez vous faire foutre
fr,allumé
fr,allumée
fr,archifoutre
fr,arriver comme le marquis de Couille-Verte
fr,asphalteuse
fr,aspire-crotte
fr,astiquer
fr,avalbit
fr,avale mon chibre
fr,avoir de la chatte
fr,avoir de la merde dans les yeux
fr,avoir de la moule
fr,avoir des couilles
fr,avoir des couilles au cul
fr,avoir des heures de vol
fr,avoir du poil au cul
fr,avoir la gueule dans le cul
fr,avoir la tête dans le cul
fr,avoir le cul bordé de médailles
fr,avoir le cul bordé de nouilles
fr,avoir le feu au cul
fr,avoir le papier qui colle aux bonbons
fr,avoir le trou du cul en chou-fleur
fr,avoir les couilles
fr,avoir les rideaux qui collent aux fenêtres
fr,avoir l’air con
fr,avoir plein le cul
fr,avoir un balai dans le cul
fr,babtou
fr,bagouse
fr,baisable
fr,baise
fr,baiser
fr,baiser Fanny
fr,baiser comme un lapin
fr,baiseur
fr,balancer la sauce
fr,balayette
fr,bamboula
fr,banane
fr,bander
fr,bander comme un Turc
fr,bander comme un cerf
fr,bander comme un taureau
fr,bander comme un âne
fr,baptême
fr,bar à putes
fr,bat
fr,batte
fr,benzer
fr,berlingue
fr,biatch
fr,bibite
fr,bigornette
fr,bitch
fr,bite
fr,bitembois
fr,bitte
fr,bivouaquer dans la crevasse
fr,biétaze
fr,bloblos
fr,bolos
fr,bolosser
fr,bombe atomique
fr,bombe sexuelle
fr,bonnasse
fr,bordel
fr,bordel de merde
fr,bordel à cul
fr,bordel à cul de pompe à merde
fr,bordel à cul pompe à merde
fr,botter le cul
fr,bouffable
fr,bouffer la chatte
fr,bougnoul
fr,bougnoule
fr,bougnoulisation
fr,bougnouliser
fr,boukak
fr,boule
fr,bounioul
fr,bourrer le mou
fr,bourriquer
fr,bourré
fr,bourrée
fr,brackmard
fr,branlage
fr,branler
fr,branlette
fr,branlette espagnole
fr,branlette intellectuelle
fr,branleur
fr,branleuse
fr,branlo
fr,branlotter
fr,branlée
fr,brise-burnes
fr,briser les noix
fr,broutage
fr,broute-minou
fr,brouter
fr,brouter le cresson
fr,brouter le gazon
fr,brouter les couilles
fr,brêle
fr,burne
fr,bâton
fr,caca
fr,cagasse
fr,cagoince
fr,calice
fr,carrer dans l’oignon
fr,carte de France
fr,casse-bonbon
fr,casse-couille
fr,casse-couilles
fr,casser la gueule
fr,casser le pot
fr,casser les boules
fr,casser les burnes
fr,casser les couilles
fr,cerise
fr,chacun sa merde
fr,chagasse
fr,chagatte
fr,chat
fr,chat bite
fr,chat-bite
fr,chatte
fr,chaude-pisse
fr,cherche-merde
fr,chiant
fr,chiant comme la Lune
fr,chiasse
fr,chiasser
fr,chiatique
fr,chibre
fr,chiennasse
fr,chienne
fr,chiennerie
fr,chier
fr,chier dans les bottes
fr,chier dans son froc
fr,chier une pendule
fr,chierie
fr,chieur
fr,chiotte
fr,chiottes
fr,chiée
fr,choper
fr,choune
fr,christ
fr,ciboire
fr,claque merde
fr,claque-merde
fr,clille
fr,clito
fr,clitoris
fr,comme papa dans maman
fr,con
fr,con comme un balai
fr,con comme un gland
fr,con comme une bite
fr,conchier
fr,connard
fr,connasse
fr,conne
fr,conneau
fr,connerie
fr,contrecrisser
fr,contrefoutre
fr,copain de baise
fr,copine de baise
fr,coquillard
fr,couille
fr,couille de loup
fr,couille molle
fr,couilles
fr,couilles au poteau
fr,couillu
fr,coup de pute
fr,courante
fr,couter la peau du cul
fr,coûter la peau des couilles
fr,coûter la peau du cul
fr,coûter une couille
fr,cramouille
fr,craquer son slip
fr,cravacher le pur-sang
fr,crisse
fr,crissement
fr,crosse
fr,crosser
fr,cruchasse
fr,cul
fr,culasse
fr,culbuter
fr,culer
fr,culeter
fr,culeur
fr,câliboire
fr,câlice
fr,câlisse
fr,câlisser
fr,c’est de la couille de loup
fr,dans ton cul
